"R_KD","B_KD","R_SIG_STR.","B_SIG_STR.","R_TOTAL_STR.","B_TOTAL_STR.","R_SUB_ATT","B_SUB_ATT","R_CTRL","B_CTRL","R_HEAD","B_HEAD","R_BODY","B_BODY","R_DISTANCE","B_DISTANCE","win_by","Fight_type","Winner","R_height_cm","R_reach_in_cm","R_stance","R_age","B_height_cm","B_reach_in_cm","B_stance","B_age","R_fighter","B_fighter"
0,0,0.563492063492063,0.362068965517241,0.7117903930131,0.380165289256198,0,0,5.86666666666667,2.5,0.467532467532468,0.282352941176471,0.5625,0.647058823529412,0.539823008849557,0.333333333333333,"Decision - Unanimous","Featherweight Bout","Sean Woodson",187.96,198.12,"Orthodox",31,175.26,177.8,"Switch",26,"Sean Woodson","Dennis Buzukja"
0,0,0.447058823529412,0.313253012048193,0.516393442622951,0.424528301886792,1,3,7.41666666666667,2.06666666666667,0.348484848484849,0.19672131147541,0.818181818181818,0.625,0.447761194029851,0.302631578947368,"Decision - Unanimous","Flyweight Bout","Cody Durden",170.18,170.18,"Southpaw",33,170.18,177.8,"Southpaw",27,"Cody Durden","Jake Hadley"
0,1,0.519230769230769,0.621212121212121,0.519230769230769,0.621212121212121,0,0,0,0,0.456521739130435,0.479166666666667,1,1,0.510204081632653,0.603174603174603,"KO/TKO","Lightweight Bout","Justin Gaethje",175.26,182.88,"Southpaw",35,180.34,177.8,"Orthodox",35,"Dustin Poirier","Justin Gaethje"
0,0,0.272727272727273,0.2,0.272727272727273,0.2,1,0,0.433333333333333,0.233333333333333,0.2,0.2,1,0,0.272727272727273,0.2,"Submission","Welterweight Bout","Gabriel Bonfim",185.42,182.88,"Orthodox",26,182.88,187.96,"Orthodox",31,"Gabriel Bonfim","Trevin Giles"
1,0,0.515151515151515,1,0.555555555555556,1,0,0,0.483333333333333,0,0.5,1,1,0,1,0,"KO/TKO","Heavyweight Bout","Derrick Lewis",190.5,200.66,"Orthodox",39,185.42,190.5,"Orthodox",38,"Derrick Lewis","Marcos Rogerio de Lima"
0,0,0.602209944751381,0.451282051282051,0.602209944751381,0.454081632653061,0,0,0,0.0166666666666667,0.42156862745098,0.350649350649351,0.789473684210526,0.76,0.590909090909091,0.448453608247423,"Decision - Unanimous","Flyweight Bout","CJ Vergara",167.64,172.72,"Orthodox",32,170.18,177.8,"Southpaw",27,"CJ Vergara","Vinicius Salvador"
0,0,0.641975308641975,0.760869565217391,0.700854700854701,0.811594202898551,2,1,7.53333333333333,0.1,0.621212121212121,0.565217391304348,0.5,0.958333333333333,0.611940298507463,0.746987951807229,"Decision - Split","Light Heavyweight Bout","Alex Pereira",187.96,198.12,"Orthodox",41,193.04,200.66,"Orthodox",36,"Jan Blachowicz","Alex Pereira"
1,0,0.761904761904762,0.542372881355932,0.761904761904762,0.55,0,0,0.05,0.266666666666667,0.689655172413793,0.4,0.9,1,0.763157894736842,0.517857142857143,"KO/TKO","Middleweight Bout","Roman Kopylov",182.88,190.5,"Southpaw",32,185.42,195.58,"Orthodox",31,"Roman Kopylov","Claudio Ribeiro"
0,0,0.363636363636364,0.5625,0.461538461538462,0.631578947368421,0,1,0.25,0.666666666666667,0.363636363636364,0.5,0,1,0.428571428571429,0.444444444444444,"Submission","Welterweight Bout","Kevin Holland",185.42,190.5,"Southpaw",36,190.5,205.74,"Orthodox",31,"Michael Chiesa","Kevin Holland"
0,0,0.439024390243902,0.631336405529954,0.449275362318841,0.638766519823789,0,1,0.216666666666667,3.41666666666667,0.387755102040816,0.572289156626506,0.611111111111111,0.774193548387097,0.423728813559322,0.628415300546448,"Submission","Lightweight Bout","Bobby Green",180.34,193.04,"Orthodox",40,177.8,180.34,"Orthodox",37,"Tony Ferguson","Bobby Green"
